,Training accuracy,Validation accuracy,Training loss,Validation loss
0,0.7406749725341797,0.3074266016483307,0.6152464151382446,5.199977397918701
1,0.8380698561668396,0.54116290807724,0.3808702826499939,1.7756847143173218
2,0.8818827867507935,0.5342544913291931,0.2957691252231598,1.4937552213668823
3,0.8937240839004517,0.43983879685401917,0.2453809380531311,2.1458959579467773
4,0.9049733281135559,0.38860103487968445,0.2385556399822235,2.665435314178467
5,0.9100059270858765,0.5014392733573914,0.2266971617937088,2.9362688064575195
6,0.9082297086715698,0.4571099579334259,0.22022892534732819,1.621974229812622
7,0.9206631183624268,0.556706964969635,0.19265155494213104,1.3803606033325195
8,0.9233273863792419,0.40069085359573364,0.19329853355884552,2.883026361465454
9,0.9230313897132874,0.5164076089859009,0.19384391605854034,2.4779269695281982
10,0.9298401474952698,0.45135289430618286,0.18063320219516754,5.047242641448975
11,0.9363528490066528,0.44905009865760803,0.1666364222764969,5.2385406494140625
12,0.934576690196991,0.47610822319984436,0.17669515311717987,1.2789928913116455
13,0.9446418285369873,0.4099021255970001,0.13773857057094574,3.3651134967803955
14,0.941681444644928,0.3672999441623688,0.15224862098693848,5.333947658538818
15,0.9446418285369873,0.4945307970046997,0.14615683257579803,3.6061596870422363
16,0.9307282567024231,0.38687393069267273,0.19861279428005219,3.313962697982788
17,0.9458259344100952,0.5077720284461975,0.12950709462165833,1.9731663465499878
18,0.9399052858352661,0.5020149946212769,0.17462149262428284,3.001774311065674
19,0.9588513970375061,0.5014392733573914,0.11071789264678955,4.908866882324219
20,0.9452338814735413,0.5808866024017334,0.16797098517417908,4.195237636566162
21,0.9564831256866455,0.5521013140678406,0.12093975394964218,3.2358667850494385
22,0.950266420841217,0.5538284182548523,0.13699737191200256,3.0190114974975586
23,0.9547069072723389,0.5175589919090271,0.13775236904621124,5.422750473022461
24,0.953522801399231,0.5319516658782959,0.132120281457901,1.4535396099090576
25,0.9606276154518127,0.492803692817688,0.11680125445127487,4.393531322479248
26,0.9511545300483704,0.526770293712616,0.14218853414058685,4.37153959274292
27,0.9618117213249207,0.5158318877220154,0.09842513501644135,2.2416460514068604
28,0.960035502910614,0.48934945464134216,0.10655296593904495,5.3401713371276855
29,0.9683244228363037,0.5365572571754456,0.08643024414777756,3.4271183013916016
30,0.9656601548194885,0.507196307182312,0.10646020621061325,4.061588287353516
